,이름,평점,작성일,내용
53,강다영,4/5,2023년 12월 31일,"아주 좋은것같아요! 다만 프리톡 UI중에 아쉬운 점이 몇가지 있습니다 1. 대화중에 뒤로가기를 누르면 바로 대화가 종료됩니다. 종료하기 버튼을 따로 두고, 잠시 나갔다가 기록으로 들어가면 이어서 대화할 수 있었으면 좋겠어요. 실수로 대화를 끝낼때가 많아서 곤란합니다 2.학습기록을 찾는게 어렵습니다. 대화했던걸 다시 보면서 공부하고싶은데, 오래된 대화일수록 스크롤로 쭉 내려야만 하고 들어갔다 나오면 다시 맨 위로 올라가있어서 너무 불편해요. 대화 검색기능을 추가해주시거나, 아니면 날짜별로 분류해주시거나, 그것도 아니면 적어도 뒤로갔을때 목록 스크롤이 그대로면 아주 편할것같아요 3. 회화 수업처럼 프리톡중에 나왔던 단어도 누르면 번역되거나 저장할수있었으면좋겠어요. 모르는 단어면 바로 검색하고싶은데 앱과 인터넷창을 왔다갔다해야해서 흐름도 끊기고 불편해요. 문장 전체말고 단어도 저장과 번역을 할 수 있게 해주세요! 감사합니다"
54,bbb h,1/5,2024년 2월 6일,일단은 결제해서 쓰고있는데 말하기연습부분 한국어로 도대체 한 번 왜 읽어주는지 모르겠네요. 이 부분 스킵도 안되고.. 말하기연습에서 한국어로 읽는부분 없애든가 스킵 기능 안생기면 중도환불할듯합니다. 한국어남자분목소리 늘어지는데 듣기만해도 짜증..
55,Sookyung Kim,4/5,2023년 12월 24일,"스픽 유료 사용자입니다. 평소에 잘 이용하고 있는데, 어떤 구간에서 오류가 나면 다음으로 넘어가지질 않습니다. (ex) ""쇼핑 중독 언제 끝날까?"" 라는 주제의 코스에서 한 구간에서 오류나면 아예 멈추어버립니다. 이전 구간으로는 돌아갈 수 있는데, 멈추어버릴 때 딱 그 장면에서 오류신고할 수 있는 기능이 필요해 보입니다. 챗봇에게 오류신고 시도하였으나 계속 코스 추천만 하더군요. 챗봇에게 오류신고 기능을 만들면 사용자들에게 도움이 될 것으로 생각됩니다."
56,좋은하루,5/5,2024년 1월 19일,"강사님이 이해하기 쉽게 설명도 잘해주고, 충분히 익힐 수 있도록 반복연습도 제공 돼요. 실생활에 유용한 표현, 말의 느낌 차이도 가르쳐줘서 좋아요. 즐겁게 영어를 배우고 익힐 수 있는 좋은 앱요~"
57,Jongyoun LIM,4/5,2023년 11월 6일,상황에 맞는 유용한 문장들을 여러번 반복연습하도록 되어있는 구성은 좋은 것같습니다. 그러나 음성인식이 매우 안좋습니다. 특정 단어를 아무리 말해도 아예 인식 자체를 못해서 진도가 넘어가지않는 경우가 빈번합니다. 그리고 같은 문장안에 있는 동일한 단어가 한번에 인식이 됩니다. 즉 the man is the head of the office 라는 문장을 발음한다면 맨 처음의 the 만 발음해도 둘째 셋째 the 모두 발음한것으로 인식됩니다. 내용은 좋은데 이부분때문에 중간에 자꾸 학습이 멈춰지니까 의욕이 많이 상실됩니다.
58,Hemin Park,5/5,2024년 3월 8일,"너무 잘 활용 중이라 주변사람에게도 다 추천하고 다니는 사람인데요, 제가 느끼는 제일 큰 단점은 답변 시간이 길어지면 예고없이 갑자기 녹음이 꺼져버린다는 점이에요. 답변하다보면 말이 길어질 수도 있는데 공들예 말한 내용이 날아가면 너무 화가 나요. 시간제한이 있는 이유는 이해하는데 구굴타이머처럼 남은 시간 표시를 해주거나, 그 시간 내 답변한 내용 자동으로 보내기를 해줘야할 것 같아요."
59,AY J,4/5,2023년 10월 31일,기능도 다 좋고 수업 내용도 유익합니다. 하지만 스피킹 앱치고는 음성 인식이 잘 안 되는 편인 것 같아요. 그리고 건의할 점이라면 굳이 스피킹 전에 한국어 발음을 들려줄 필요는 없는 것 같습니다. 인식이 안 돼서 다시 녹음하려 할 때마다 한국어 발음도 다시 들어야 하니 꽤 번거로워요...하지만 다양한 컨텐츠가 많기 때문에 개인적으로는 만족하고 있습니다. 힘내세요!!
60,최ᄀᄋ,5/5,2023년 12월 2일,"할인 행사 때 프리미엄 서비스 가입한 뒤로 꾸준히 잘 사용하고 있습니다. 발음 어려운 어휘도 반복연습 할 수 있고 무엇보다 말하기를 꾸준히 하는 것이 도움이 됩니다. 원어민 통화 수업을 꾸준히 하고 있었는데 쓰는 표현들만 반복 사용하게 되어 정체기가 온 느낌이었는데 아예 스픽으로 넘어오려고요. AI 대화가 원어민 대화에 뒤지지 않고, 왜 문법적으로 틀렸는지 혹은 더 자연스러운 표현은 무엇인지 바로 설명이 붙으며, 이상하게 하는 발음은 아예 인식이 안되거나 엉뚱하게 받아들이니 어떤 단어의 발음에 문제가 있는지도 알게되네요. 스픽에서 메시지로 참여 독려해 주는 것도 도움이 됩니다. 꾸준히 이용할 수 있게 신경써 주니 계속 하게되고 비용이 아깝지 않네요. 즐겨찾기한 어구들 각각에 메모 기능 있다면 좋을 것 같아요. 비슷한 숙어 표현 등 헷갈리거나 기억해 둘 내용 메모해 두면 학습에 도움이 될 것 같아요."
61,Hyunju Shin,3/5,2023년 12월 17일,아무 때나 아무 주제로 대화할 수 있어서 좋습니다. 아주 저렴한 1:1 튜터가 생긴 기분이에요. 특히 피드백을 바로 받을 수 있어서 웬만한 레슨보다 유용한 것 같네요. 그런데 많은 분들이 지적하셨다시피 음성인식 기능이 처참해요. 대화를 일정 시간 나누다 보면 자꾸 제 답변과는 전혀 다른 Thank you for watching 이라는 답변으로 대체됩니다. 거의 대화 절반이 이런 식으로 강제종료(?) 됐어요. 차라리 못 알아들었다고 하면 좋겠는데.. 아니면 제 답변 인식 결과를 확인한 후에 전송하는 기능이 추가되었으면 좋겠습니다. 한창 말하는 중인데 이런 식으로 대화가 끝나버리면 의욕이 완전히 사라져요.ㅜㅜ
62,김지혜,5/5,2024년 1월 12일,영어공부 놓은지 오래되서 왕초보 시작인데 그냥 처음부터 너무 좋아요. 자연스럽게 스피킹으로 유도하는게 놀랍고 한국어 음성인식도 훌륭해서 ai를 과소평가 했었던 과거를 반성하게 되네요. 시간날때마다 짬짬히 볼수있는게 엄청 장점이고 또 재밌어요. 이런 시스템 개발해주셔서 감사합니다.
63,별하,4/5,2024년 1월 6일,유료 결제한 걸 후회하지 않을 만큼 잘 쓰고 있습니다. 다만 종종 음성 인식률이 현저히 떨어질 때가 있어서 이 부분이 개선되었으면 좋겠습니다. 음성 인식률 향상시키기 메뉴를 활성화한 상태인데도 인식하는 데 몇 십 초씩 걸려서 이걸 다시 말해야 하나 새로고침을 해야 하나 고민합니다. 제 발음이 안 좋아서 인식 못하는 것일 수도 있지만··· 이렇게 건의드립니다.
64,뿌룽빵뽀롱삥,5/5,2024년 1월 13일,대체로 만족합니다. 스피킹 연습도 도움이 많이 되지만 특히 ai기능이 유용합니다. 쓰기랑 문법을 연습하고 싶어서 문장 교정용으로 주로 사용하는데 답이 항상 백프로 정확한 건 아니지만 즉시 피드백을 받을 수 있고 질문도 이것저것할 수 있어서 좋아요. 다만 약간 아쉬운 건 실용적인 일상 회화나 비지니스 회화에만 치중되어 있어서 고급 표현을 배우는 기능이 추가됐으면 합니다. 국제정치나 역사 등에 관심이 있어 vox나 TLDR news와 같은 채널도 챙겨보는 편인데 시사에 관련 테마로 꼭지가 생겼으면 더 좋을 것 같네요. 그리고 ai랑 대화한 거 저장할 수 있는 기능 만들어 주시면 감사하겠습니다👏
65,오정훈,4/5,2023년 11월 22일,아이폰으로 쓸 때는 스마트리뷰가 됐었는데 갤럭시로 바꾸니 스마트리뷰가 안되네요. 배운 걸 잊어버리지 않기 위해서는 복습이 중요하고 개인적으로 스픽의 큰 장점이 스마트리뷰라고 생각하는데 수업만 할 수 있어서 스픽을 반만 쓰는 것 같네요. 그것만 제외하면 저는 정말 만족하며 스픽을 쓰고 있습니다. 영어표현 하나하나 친절하게 설명해주시고 상황연습까지 할 수 있어서 영어스피킹에 대한 벽이 허물어졌습니다. 그리고 귀찮은 날에도 스피킹을 간단하게 할 수있다는 생각에 부담없이 하고 있습니다. 스픽을 만드는 분들 모두 힘내서 더 다양한 컨텐츠 만들어 주시고 앞으로 좋은 일만 가득하시길 바랍니다.
66,용용,1/5,2023년 12월 17일,교육 커리큘럼이 좋고 지속적으로 했을 때 실력 향상이 분명하게 될거란 생각이 들지만 음성인식이 아주 구리다. 스피킹이 주력인 어플의 음성 인식 기능이 이 정도인 이유를 모르겠다. 짜증나서 그냥 지하철 모드를 켜고 하게 된다. 작년 리뷰도 봤는데 그 때도 이랬다는거 보면 개발자들이 고칠 생각이 없는 것 같다. 아쉽지만 이 어플은 무료 기간만 사용하고 구독까진 못하겠다
67,이승준,5/5,2023년 12월 24일,허걱스. AI 프리토킹은 신기하다. 표현이랑 발음 교정까지 해 준다. AI 기술이 여기까지 왔음에 놀랐다. 이번에 기존에 완료한 과정을 다시 보니 몇 과정은 step 4로 직접 자신이 문장을 만들어 답변하고 AI가 첨삭해 주는 단계가 추가되었던데 복습에 매우 도움이 된다. 이전 리뷰에 더함: 그 사이에 앱이 또 업데이트가 되었다. 언제 업데이트 된 건지는 모르겠으나 이제 AI 프리토킹 후 틀렸던 표현 몇 개를 골라서 그걸 집중적으로 레슨할 수 있는 기능이 추가되었다. 틀렸던 표현의 올바른 표현을 알려 주고 연습할 수 있게 해당 표현을 조금씩 비틀어 스피킹 연습을 시켜 준다. 매우 마음에 드는 기능.
68,김상훈,4/5,2023년 11월 22일,기대한 것 보다 잘 사용하고 있습니다. 매일 하고 있는데.. 아쉬운 부분은 음성인식이 잘될때는 잘 되지만...조금 더 개선이 필요해 보입니다. 그리고 발음 연습하고 싶은 단어를 터치하고 연습할때 발음 연습뿐만 아니라 단어의 의미 형용사인지 명사인지 등 같이 표시가 되었으면 좋겠어요
69,u u,5/5,2023년 10월 18일,"갤럭시고 음성인식 한국말, 영어 모두 아주 잘 됩니다. 예전에 무료체험 두 번 정도하고 유료결제 안 했는데 이번에는 유료결제하려고요. AI튜터랑 비즈니스 강의들이 큰 도움이 됩니다. 1) 스마트 복습 할 때 내가 복습하고자 하는 문장만 복습하거나/ 폴더를 만들어서 특정 폴더만 복습하거나 / 그것도 안되면 최소한 강의 문장이랑 AI튜터 문장만이라도 구분해서 복습할 수 있게 해주세요. AI튜터한테 한국말을 영작시키면 영작 한 다음에""제 답변에 만족하시나요? 추가로 질문하실거 있나요?"" 이런 문장까지 딸려서나와서 복습 때 그 문장들도 말해야되서 너무 불편해요 2)스마트복습 시 영어켜기/한국어켜기 기능 좀 만들어주세요. 그래서 듣기 하고 싶은 사람은 영어로만 복습하고, 저처럼 한국말 듣고 영어로 퀴즈 맞추듯이 입으로 빠르게 뱉고 싶은 사람은 한국말만 들리게요."
70,요단강,5/5,2024년 1월 1일,이틀 써봤습니다. 강의 내용과 방식은 사용자가 제법 재밌게 집중하며 따라할수 있도록 만들어졌습니다. Ai와 상황 설정하여 대화하는것도 약간 어설프게 느껴질때도 있지만 나름 대화같은 대화를 나눌수 있어 좋았습니다. 그리고 대화가 끝나면 제가 말한 내용을 분석하여 고칠점을 하나하나 말해주는 피드백이 매우 좋았습니다. 영어 공부 하기에 가성비가 아주 좋은 어플인듯 합니다 ㅎㅎ
71,Andrew Song,5/5,2023년 11월 30일,"좋은 어플 만들어주셔서 정말 감사드립니다. 한 가지 제가 궁금한 것은 혹시 Review saved lines 화면에서 Review 한 lines를 자동으로 제거할 수 있는 기능이나, 둘 이상의 saved lines를 unsave 할 수 있는 기능이 있는 지 입니다!! 매번 하나하나 보면서 unsave 하기가 번거로워 자꾸 늘어만 가고 있네요 ㅠㅠ"
72,오세청,5/5,2024년 1월 10일,여러가지 면에서 만족스럽다. 1-계속 말하게 한다. 2-내가 말한 문장을 올바른 표현으로 피드백을 해준다. 3-코칭쌤들의 정확한 코칭을 인정한다.알기쉽게 아낌없이 연구한것을 알려줘서 고맙다. 4-챌린지나 불꽃처럼 연속해서 할수 있도록 재미가 있도록하면서 격려해주고 있다. 5-표현이나 단어의 철자들이 정확하여 정성들인것이 보이고 믿을만하고 신용이 간다.
73,플로라,5/5,2024년 1월 13일,"나이가 좀 있어도 재미있네요 친절한 선생님 아래 학생이된 느낌입니다 배우는 즐거움을 주는군요 목표가 있다면 더욱 좋겠지만 목표가 없더라도 흥미가 있어 좋습니다 틀리게 말해도 고쳐주고, 안되면 우리말로 해도 번역해주니 외었다가 다시 써먹어 보았습니다 실은 잘못 외어서 썼더니 다시 고쳐주었습니다."
74,Jonggeun Ham,1/5,2024년 1월 8일,1년 구독 후 해지가 안되네요. 무료체험 통해 프리미엄 회원가입은 바로되는데. 정기 구독 후 취소하려고해도 메뉴도 없고. 고객센터는 형식적으로 전화번호있는데. 연결해보면 해외업체라서 고객센터 운영하지 않는다고 하네요. 그럼 고객센터 전화번호 대신 안내문구 보여주면되는데. 그리고 취소 요청 이메일 보내도 회신도 없고. 답답하기만 하네요. 인터넷에는 자동연장되었다는 후기는 많은데 회사는 연락도 안되고 일단 카드사 통해 정지 처리 알아보려구요 정말 스픽 실망입니다. 회사 관계자 보시면 연락 좀주세요
75,W Kim,5/5,2024년 1월 5일,"직장에서 다른 플랫폼으로 전화영어를 1년 하다가 넘어왔습니다. 가장 좋은 건 내가 원하는 시간에 대화를 할 수 있다는 것, 그리고 틀린 문장에 대한 피드백이 있다는 것입니다. ai가 생각보다 똑똑하네요 제가 아직 초급이라 그럴순 있지만 ㅋㅋㅋ 아직까진 만족스럽습니다ㅡ 다만 가끔 대화 하고나면 대화 전체를 저장하고 싶은데 (맥락이 있어야 이해를 하니) 저장을 문장마다 하게 되어있어서 복습하려고 정리할 때 쪼금 힘듭니다 요건 제가 아직 기능을 몰라서일지... 아무튼 영어공부하기 좋습니다"
